类型,模型权重/数据集,大小,备注,使用测试脚本(相对test/registered/npu)
模型,LLM-Research/Llama-3.2-1B-Instruct,4.95 GB,15 files,basic_function/Custom_weight_loader/test_npu_update_weights_from_disk.py | basic_function/HTTP/test_npu_skip_warmup.py | basic_function/HiCache/test_npu_hicache.py | basic_function/api_related/test_npu_api_related_tool_call.py | basic_function/core/test_npu_srt_engine.py | basic_function/debug_tensor/test_npu_debug_tensor_input_file.py | basic_function/kernel_backends/test_npu_hybrid_attention_backend.py | basic_function/logging/test_npu_log_level.py | basic_function/lora/test_npu_lora_basic.py | basic_function/lora/test_npu_lora_load_from_tensor.py | basic_function/lora/test_npu_lora_memory_eviction.py | basic_function/lora/test_npu_lora_openai_compatible.py | basic_function/lora/test_npu_lora_openai_compatible_supplement.py | basic_function/lora/test_npu_max_loaded_loras.py | basic_function/lora/test_npu_wait_threshold.py | basic_function/memory_and_scheduling/test_npu_abort_on_priority_when_disabled.py | basic_function/memory_and_scheduling/test_npu_load_snapshot_server.py | basic_function/memory_and_scheduling/test_npu_priority_scheduling.py | basic_function/memory_and_scheduling/test_npu_priority_scheduling_preemption_threshold.py | basic_function/memory_and_scheduling/test_npu_radix_attention.py | basic_function/memory_and_scheduling/test_npu_schedule_low_priority_values_first.py | basic_function/model_override/test_npu_model_override_args.py | basic_function/model_tokenizer/test_npu_model_tokenizer.py | basic_function/model_tokenizer/test_npu_tokenizer_backend.py | basic_function/msprobe/test_npu_msprobe_dump_config.py | basic_function/openai_server/test_npu_openai_server.py | basic_function/optimization_debug_options/test_npu_allow_auto_truncate.py | basic_function/optimization_debug_options/test_npu_attn_tp_gather_fuseep.py | basic_function/optimization_debug_options/test_npu_cuda_graph_config.py | basic_function/optimization_debug_options/test_npu_disable_cuda_graph.py | basic_function/optimization_debug_options/test_npu_enable_cudagraph_gc.py | basic_function/optimization_debug_options/test_npu_no_extra_forked_npu_context.py | basic_function/optimization_debug_options/test_npu_openai_server_hidden_states.py | basic_function/optimization_debug_options/test_npu_radix_cache_hit.py | basic_function/parameter/test_npu_batch_notify_size.py | basic_function/parameter/test_npu_custom_sigquit_handler.py | basic_function/parameter/test_npu_enable_streaming_session.py | basic_function/parameter/test_npu_http2_server.py | basic_function/parameter/test_npu_incremental_streaming_output.py | basic_function/parameter/test_npu_load_snapshot_publish_interval.py | basic_function/parameter/test_npu_log_level.py | basic_function/parameter/test_npu_original_logprobs.py | basic_function/parameter/test_npu_priority_scheduling.py | basic_function/parameter/test_npu_ssl.py | basic_function/parameter/test_npu_start_profile.py | basic_function/parameter/test_npu_stream_response_include_usage.py | basic_function/pd_disaggregation/test_npu_disaggregation_basic.py | basic_function/prefill_only/test_npu_pooled_hidden_states.py | basic_function/prefill_only/test_npu_score_api.py | basic_function/prefill_only/test_npu_score_engine.py | basic_function/profiling/test_npu_profile_v2.py | basic_function/quantization_and_data_type/test_npu_dtype.py | basic_function/quantization_and_data_type/test_npu_kv_cache_dtype.py | basic_function/rl/test_npu_multi_instance_release_memory_occupation.py | basic_function/rl/test_npu_rl_pause_resume_basic.py | basic_function/rl/test_npu_rl_pause_resume_loop.py | basic_function/rl/test_npu_rl_pause_resume_multi_tokenizer.py | basic_function/rl/test_npu_rl_pause_resume_multi_turn.py | basic_function/rl/test_npu_rl_pause_resume_tool_call.py | basic_function/rl/test_npu_rl_release_memory_occupation.py | basic_function/runtime_options/test_npu_constrained_json_disable_any_whitespace.py | basic_function/runtime_options/test_npu_gpu_id.py | basic_function/runtime_options/test_npu_random_seed.py | basic_function/runtime_options/test_npu_skip_tokenizer_init.py | interface/test_npu_anthropic_tool_use.py | interface/test_npu_api.py | interface/test_npu_api_abort_request.py | interface/test_npu_openai_function_calling.py | interface/test_npu_openai_server_ignore_eos.py | interface/test_npu_penalty.py
模型,philschmid/code-llama-3-1-8b-text-to-sql-lora,4.79 GB,"via HF (huggingface.co), 12 files",basic_function/lora/test_npu_lora_update.py
模型,Qwen/Qwen3-ASR-1.7B,4.7 GB,13 files,vlm_models/test_npu_qwen3_asr.py
模型,Qwen/Qwen2-VL-2B-Instruct,4.43 GB,15 files,basic_function/model_loading/test_npu_external_models.py | vlm_models/test_npu_vision_openai_server_a.py
模型,Qwen/Qwen3-VL-Reranker-2B,4.27 GB,24 files,rerank_models/test_npu_qwen3_vl_reranker_2b.py
模型,deepseek-ai/Janus-Pro-1B,4.18 GB,12 files,vlm_models/test_npu_janus_pro_1b.py
模型,deepseek-ai/deepseek-coder-1.3b-base,2.69 GB,10 files,basic_function/parameter/test_npu_fim_completion.py
模型,sgl-npu/MiniMax-M2.5-eagel-model-0318,2.68 GB,10 files,accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_4p_in64k_out1k_prefix90_50ms_gpqa.py | accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_8p_in3k5_out1k5_50ms_gpqa.py
模型,Qwen/Qwen3-4B-GGUF/Qwen3-4B-Q4_K_M.gguf,2.5 GB,1 files,basic_function/model_tokenizer/test_npu_model_tokenizer.py | basic_function/quant/test_npu_gguf.py
模型,BAAI/bge-reranker-v2-m3,2.29 GB,15 files,basic_function/openai_server/test_npu_openai_server.py
模型,z-lab/Qwen3-8B-DFlash-b16,2.1 GB,11 files,basic_function/speculative_inference/test_npu_dflash_speculative.py
模型,Qwen/Qwen3-1.7B-GPTQ-Int8,2.08 GB,11 files,llm_models/test_npu_qwen3_1_7b_gptq_int8.py
模型,Qwen/Qwen3-ASR-0.6B,1.88 GB,11 files,basic_function/api_related/test_npu_api_related_asr_max.py
模型,Zjcxy-SmartAI/Eagle3-Qwen3-32B-zh,1.57 GB,4 files,accuracy/qwen3_32b/test_npu_qwen3_32b_bf16_8p_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa_a2.py | basic_function/speculative_inference/test_npu_speculative_attention_mode.py | basic_function/speculative_inference/test_npu_speculative_multi_npu.py | basic_function/speculative_inference/test_npu_speculative_token_map.py
模型,lmsys/sglang-EAGLE-LLaMA3-Instruct-8B,1.55 GB,5 files,basic_function/speculative_inference/test_npu_speculative_token_map.py
模型,Qwen/Qwen3-0.6B,1.52 GB,11 files,basic_function/api_related/test_npu_default_chat_template_kwargs.py | basic_function/api_related/test_npu_e2e_constrained_reasoning.py | basic_function/api_related/test_npu_strip_thinking.py | basic_function/core/test_npu_engine_child_pids.py | basic_function/core/test_npu_hidden_states.py | basic_function/core/test_npu_srt_endpoint.py | basic_function/input_embedding/test_npu_input_embeds_chunked.py | basic_function/kernel_backends/test_npu_json_mode.py | basic_function/logging/test_npu_crash_dump.py | basic_function/logging/test_npu_request_logger.py | basic_function/logging/test_npu_scheduler_status_logger.py | basic_function/logging/test_npu_tracing.py | basic_function/logging/test_npu_tracing_disaggregation.py | basic_function/memory_and_scheduling/test_npu_data_parallelism.py | basic_function/memory_and_scheduling/test_npu_prefill_delayer.py | basic_function/memory_and_scheduling/test_npu_prefill_delayer_buckets.py | basic_function/memory_and_scheduling/test_npu_prefill_delayer_max_delay.py | basic_function/memory_and_scheduling/test_npu_request_length_validation.py | basic_function/memory_and_scheduling/test_npu_request_queue_validation.py | basic_function/optimization_debug_options/test_npu_delete_ckpt_after_loading.py | basic_function/optimization_debug_options/test_npu_disable_tokenizer_batch_decode.py | basic_function/optimization_debug_options/test_npu_enable_mixed_chunk.py | basic_function/optimization_debug_options/test_npu_enable_tokenizer_batch_encode.py | basic_function/optimization_debug_options/test_npu_numa_node.py | basic_function/optimization_debug_options/test_npu_pre_warm_nccl.py | basic_function/optimization_debug_options/test_npu_scheduler_recv_interval.py | basic_function/optimization_debug_options/test_npu_torch_compile_moe.py | basic_function/parallel_strategy/test_npu_prefill_policy_bucket_balance.py | basic_function/parameter/test_npu_input_embeddings.py | basic_function/prefill_only/test_npu_pooled_hidden_states.py | basic_function/prefill_only/test_npu_score_engine.py | basic_function/rl/test_npu_weight_checker_e2e.py | basic_function/runtime_options/test_npu_constrained_json_whitespace_pattern.py | basic_function/runtime_options/test_npu_soft_watchdog.py | basic_function/runtime_options/test_npu_stream_interval.py | basic_function/runtime_options/test_npu_watchdog.py | interface/test_npu_anthropic_server.py | interface/test_npu_http2_server.py | interface/test_npu_openai_server_ebnf.py | llm_models/test_npu_qwen3_0_6b.py
模型,hotdogs/qwen3.6-27b-cybersecurity-lora,1.32 GB,"via HF (huggingface.co), 22 files",basic_function/lora/test_npu_lora_qwen3_6_27b_logprob_diff.py
模型,[hf-cache]Qwen3-30B-A3B-Instruct-2507-theo-style-lora,未查到(内部/私有仓库),no repo,basic_function/lora/test_npu_experts_shared_outer_lora.py
模型,DeepSeek-R1-0528-w4a8-per-channel,未查到(内部/私有仓库),no repo,basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_deepseek_R1_0528_w4a8_per_channel.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_deepseek_R1_0528_w4a8_per_channel.py | basic_function/speculative_inference/test_npu_speculative_draft_attention_backend.py
模型,DeepSeek-V3.2-Exp-W8A8,未查到(内部/私有仓库),no repo,accuracy/deepseek_v3_2/test_npu_deepseek_v3_2_8p_aime25.py | accuracy/deepseek_v3_2/test_npu_deepseek_v3_2_8p_gsm8k.py | llm_models/test_npu_deepseek_v3_2_exp_w8a8.py
模型,Howeee/DeepSeek-R1-0528-w8a8,未查到(内部/私有仓库),HTTP Error 404: Not Found,basic_function/malpo/test_npu_mlapo.py | basic_function/parallel_strategy/test_npu_bucket_adjust_interval_secs_concurrency.py
模型,Qwen/Eagle3-Qwen3-8B-zh,未查到(内部/私有仓库),HTTP Error 404: Not Found,accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in6k_out1k5_bs16_gpqa.py
模型,Qwen/Qwen3-30B-A3B-w8a8,未查到(内部/私有仓库),HTTP Error 404: Not Found,basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_qwen3_30b_a3b_w8a8.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_qwen3_30b_a3b_w8a8.py | basic_function/parallel_strategy/expert_parallelism/test_npu_eplb_min_rebalancing_utilization_threshold.py | llm_models/test_npu_qwen3_30b_fuseep.py | test_npu_memory_consumption.py
模型,Qwen/Qwen3-8B-W8A8,未查到(内部/私有仓库),HTTP Error 404: Not Found,accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in6k_out1k5_bs16_gpqa.py
模型,Qwen/Qwen3-8B_eagle3,未查到(内部/私有仓库),HTTP Error 404: Not Found,basic_function/HiCache/test_npu_hicache_variants.py | basic_function/sessions/test_npu_streaming_session.py | basic_function/sessions/test_npu_streaming_session_extra.py | basic_function/speculative_inference/test_npu_adaptive_speculative.py | basic_function/speculative_inference/test_npu_basic_sanity_eagle3.py | basic_function/speculative_inference/test_npu_constrained_decoding_spec_reasoning.py | basic_function/speculative_inference/test_npu_eagle3.py | basic_function/speculative_inference/test_npu_eagle_infer_beta_dp_attention.py | basic_function/speculative_inference/test_npu_skip_dp_mlp_sync.py
模型,Qwen/Qwen3-VL-8B-Instruct-Eagle3,未查到(内部/私有仓库),HTTP Error 404: Not Found,basic_function/Multi-Modal/test_npu_multimodal_spec_overlap.py
模型,Qwen/Qwen3-a3B_eagle3,未查到(内部/私有仓库),HTTP Error 404: Not Found,accuracy/qwen3_30b_a3b/test_npu_qwen3_30b_w8a8_1p_in3k5_out1k5_50ms_aime25.py | basic_function/speculative_inference/test_npu_eagle_dp_attention.py
模型,Qwen3-Coder-480B-A35B-Instruct-w8a8-QuaRot,未查到(内部/私有仓库),no repo,basic_function/api_related/test_npu_api_related_tool_call.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_auto_qwen3_480b.py | basic_function/parallel_strategy/expert_parallelism/test_npu_deepep_low_latency_qwen3_480b.py | llm_models/test_npu_qwen3_coder_480b_a35b.py
模型,YZY/Qwen3-8B,未查到(内部/私有仓库),HTTP Error 404: Not Found,basic_function/checkpoint_decryption/test_npu_decrypted_draft_config_file.py
模型,YZY/Qwen3-8B_eagle3,未查到(内部/私有仓库),HTTP Error 404: Not Found,basic_function/checkpoint_decryption/test_npu_decrypted_draft_config_file.py
模型,eigen-ai-labs/gpt-oss-120b-bf16,未查到(内部/私有仓库),HTTP Error 404: Not Found,basic_function/kernel_backends/test_npu_swa_radix_cache_kl.py | basic_function/sessions/test_npu_streaming_session_swa.py | llm_models/test_npu_gpt_oss_120b_bf16.py
模型,hot_map/pd_prefill_0720.pt,未查到(内部/私有仓库),HTTP Error 404: Not Found,performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_1p1d_16p_in8k_out1k_50ms.py
模型,sglang-EAGLE3-LLaMA3.1-Instruct-8B,未查到(内部/私有仓库),no repo,basic_function/optimization_debug_options/test_npu_openai_server_hidden_states.py | basic_function/pd_disaggregation/test_npu_disaggregation_basic.py | basic_function/speculative_inference/test_npu_eagle_constrained_decoding.py | basic_function/speculative_inference/test_npu_spec_eagle.py | basic_function/speculative_inference/test_npu_spec_eagle_parity.py | basic_function/speculative_inference/test_npu_spec_eagle_stress.py
模型,algoprog/fact-generation-llama-3.1-8b-instruct-lora,0.39 GB,"via HF (huggingface.co), 7 files",basic_function/lora/test_npu_lora_update.py
模型,pbevan11/llama-3.1-8b-ocr-correction,0.34 GB,"via HF (huggingface.co), 10 files",basic_function/lora/test_npu_lora_update.py
模型,Aswinkv07/qwen3.5-4b-neo4j-text2cypher-lora,0.19 GB,"via HF (huggingface.co), 8 files",basic_function/lora/test_npu_lora_backend.py
模型,codelion/Llama-3.2-1B-Instruct-tool-calling-lora,0.18 GB,5 files,basic_function/lora/test_npu_lora_basic.py | basic_function/lora/test_npu_lora_load_from_tensor.py | basic_function/lora/test_npu_lora_memory_eviction.py | basic_function/lora/test_npu_lora_openai_compatible.py | basic_function/lora/test_npu_lora_openai_compatible_supplement.py | basic_function/lora/test_npu_max_loaded_loras.py | basic_function/lora/test_npu_wait_threshold.py
模型,nvidia/llama-3.1-nemoguard-8b-topic-control,0.08 GB,"via HF (huggingface.co), 4 files",basic_function/lora/test_npu_lora_update.py
模型,suayptalha/FastLlama-3.2-LoRA,0.06 GB,9 files,basic_function/lora/test_npu_lora_basic.py | basic_function/lora/test_npu_lora_memory_eviction.py | basic_function/lora/test_npu_lora_openai_compatible_supplement.py | basic_function/lora/test_npu_wait_threshold.py
数据集,[ms-datasets]audios/bird.mp3,本地小文件(KB级),,vlm_models/test_npu_qwen3_omni_30b_a3b_instruct.py
数据集,[ms-datasets]audios/trump.mp3,本地小文件(KB级),,vlm_models/test_npu_qwen3_omni_30b_a3b_instruct.py
数据集,[ms-datasets]gsm8k_deepseekv4/cache0_32000/formal_run1_64_32000_cache0.json,"本地生成性能数据(8000/32000条长序列),约数十MB",,performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in32k_out1k_50ms.py
数据集,[ms-datasets]gsm8k_deepseekv4/cache0_8000/formal_run1_160_8000_cache0.json,"本地生成性能数据(8000/32000条长序列),约数十MB",,performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in8k_out1k_50ms.py
数据集,[ms-datasets]images/023.jpg,本地小文件(KB级),,rerank_models/test_npu_qwen3_vl_reranker_2b.py
数据集,[ms-datasets]images/1x1.png,本地小文件(KB级),,basic_function/pp/test_npu_pp_single_node_extra.py
数据集,[ms-datasets]images/example_image.png,本地小文件(KB级),,basic_function/dp_attn/test_npu_dp_attention.py | basic_function/runtime_options/test_npu_skip_tokenizer_init.py
数据集,[ms-datasets]images/invoice_with_barcode_logo.jpeg,本地小文件(KB级),,basic_function/prefix_mm_cache/test_npu_prefix_mm_cache.py | vlm_models/test_npu_dots_ocr.py
数据集,[ms-datasets]images/logo.png,本地小文件(KB级),,basic_function/Multi-Modal/test_npu_mm_limit.py | vlm_models/test_npu_qwen3_omni_30b_a3b_instruct.py
数据集,[ms-datasets]images/man.png,本地小文件(KB级),,basic_function/Multi-Modal/test_npu_mm_limit.py | basic_function/optimization_debug_options/test_npu_embedding_interpolation.py | vlm_models/test_npu_qwen3_omni_30b_a3b_instruct.py
数据集,[ms-datasets]images/man_ironing_on_back_of_suv.png,本地小文件(KB级),,vlm_models/test_npu_vision_openai_server_a.py | vlm_models/test_npu_vlm_input_format.py
数据集,[ms-datasets]images/sgl_logo.png,本地小文件(KB级),,vlm_models/test_npu_vlm_input_format.py
数据集,[ms-datasets]openslr/librispeech_asr,test-clean约0.35GB(完整集约60GB),,vlm_models/test_npu_qwen3_asr.py
数据集,[ms-datasets]video/audios_Trump_WEF_2018_10s.mp3,本地小文件(KB级),,basic_function/openai_server/test_npu_serving_transcription.py
数据集,[ms-datasets]video/jobs.mp4,本地小文件(KB级),,vlm_models/test_npu_qwen3_omni_30b_a3b_instruct.py
数据集,[ms-datasets]wav/asr_en.wav,本地小文件(KB级),,basic_function/api_related/test_npu_api_related_asr_max.py
数据集,aisbench-type:gsm8k,数MB (AISBench 内置 gsm8k 采样),,performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_1p1d_16p_in8k_out1k_50ms.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in32k_out1k_50ms.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in8k_out1k_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_16p_in3k5_out1k5_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in128k_out1k_20ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in16k_out1k_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_20ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in3k5_out1k5_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in64k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in128k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in16k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in254k_out1k.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_2p_in984k_out1k.py
数据集,aisbench-type:mm-custom-gen,自定义多模态生成数据,,performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1080p_30_out256_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1080p_30_out256_50ms.py
数据集,aisbench:generated-shared-prefix,随机共享前缀(内存生成),,performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in65k_out1k5_prefix90_25ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_prefix90_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_2p_in64k_out1k_prefix90_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in128k_out1k_prefix90_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_prefix90_50ms.py
数据集,aisbench:image,未知,,performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_1p_in1080p_30_out256_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1024x1024_30_out1024_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in1080p_30_out256_50ms.py
数据集,aisbench:random,"随机token序列(内存生成,无外部文件)",,basic_function/cp/test_npu_cp_vs_nocp_ttft.py | basic_function/parallel_strategy/test_npu_bucket_adjust_interval_secs_concurrency.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_1p1d_16p_in8k_out1k_50ms.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in32k_out1k_50ms.py | performance/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_in8k_out1k_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_16p_in3k5_out1k5_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in128k_out1k_20ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in16k_out1k_50ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_20ms.py | performance/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_50ms.py | performance/glm5_2/test_npu_glm_5_2_w4a8_2p1d_32p_in128k_out1k_prefix90_20ms.py | performance/glm5_2/test_npu_glm_5_2_w4a8_2p1d_32p_in64k_out1k_prefix90_20ms.py | performance/glm5_2/test_npu_glm_5_2_w4a8_3p1d_32p_in16k_out1k_50ms.py | performance/glm5_2/test_npu_glm_5_2_w4a8_4p1d_48p_in128k_out1k_prefix90_50ms.py | performance/glm5_2/test_npu_glm_5_2_w4a8_4p1d_48p_in64k_out1k_prefix90_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in128k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in16k_out1k_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in3k5_out1k5_50ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_20ms.py | performance/qwen3_5_397b/test_npu_qwen3_5_397b_w4a8_8p_in64k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in3k5_out1k5_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in64k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in128k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in16k_out1k_50ms.py | performance/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_2p_in64k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in128k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in254k_out1k.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in3k5_out1k5_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_50ms.py | performance/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_2p_in984k_out1k.py
数据集,evalscope:aime25,约0.1MB (30题),,accuracy/glm4_7_flash/test_npu_glm4_7_flash_1p_aime25.py | accuracy/kimi_k2_6/test_npu_kimi_k2_6_w4a8_16p_in64k_out1k_100ms_aime25.py | accuracy/qwen3_30b_a3b/test_npu_qwen3_30b_w8a8_1p_in3k5_out1k5_50ms_aime25.py | accuracy/qwen3_next_80b_a3b_instruct/test_npu_qwen3_next_80b_w8a8_2p_in6k_out1k5_bs16_aime25.py
数据集,evalscope:aime26,约0.1MB (约12题),,accuracy/glm5_1/test_npu_glm5_1_w4a8_1p1d_32p_in64k_out1k_50ms_aime26.py | accuracy/qwen3_5_397b/test_npu_qwen3_5_397b_8p_aime26.py | accuracy/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_aime26.py | accuracy/qwen3_6_35b_a3b/test_npu_qwen3_6_35b_a3b_1p_in64k_out1k_prefix90_50ms_aime26.py
数据集,evalscope:gpqa_diamond,约1MB (198题),,accuracy/deepseek_v4_flash/test_npu_deepseek_v4_flash_w8a8_8p_gpqa.py | accuracy/glm5_2/test_npu_glm_5_2_w4a8_8p_gpqa.py | accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_4p_in64k_out1k_prefix90_50ms_gpqa.py | accuracy/minimax_m2_5/test_npu_minimax_m2_5_w8a8_8p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3-8b/test_npu_qwen3_8b_w8a8_1p_in6k_out1k5_bs16_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_bf16_8p_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa.py | accuracy/qwen3_32b/test_npu_qwen3_32b_w8a8_2p_in3k5_out1k5_50ms_gpqa_a2.py | accuracy/qwen3_5_397b/test_npu_qwen3_5_397b_8p_gpqa.py | accuracy/qwen3_6_27b/test_npu_qwen3_6_27b_1p_gpqa.py | accuracy/qwen3_6_27b/test_npu_qwen3_6_27b_w8a8_1p_in3k5_out1k5_50ms_gpqa.py
数据集,evalscope:gsm8k,约5MB (openai/gsm8k test split),,accuracy/deepseek_v3_2/test_npu_deepseek_v3_2_8p_aime25.py | accuracy/deepseek_v3_2/test_npu_deepseek_v3_2_8p_gsm8k.py | accuracy/glm4_7_flash/test_npu_glm4_7_flash_1p_gsm8k.py | accuracy/glm5_top64_pruned/test_npu_glm5_top64_pruned_bf16_8p_gsm8k.py | accuracy/moonshotai_moonlight_16b_a3b/test_npu_moonlight_16b_a3b_bf16_1p_gsm8k.py | accuracy/qwen3_5_9b/test_npu_qwen3_5_9b_bf16_1p_gsm8k.py | accuracy/qwen3_vl_30b_a3b/test_npu_qwen3_vl_30b_a3b_bf16_2p_gsm8k.py | accuracy/qwen3_vl_8b/test_npu_qwen3_vl_8b_bf16_2p_gsm8k.py
